sku;назва;тип;одиниця;ррц;уктзед;штрихкод;вага_г;стаття_витрат
00-00000084;Гигрометр психометричний;raw;pcs;;;;;
00-00000081;Контейнер для відходів 45л;raw;pcs;;;;;
00-00000091;Кріплення для ПК;raw;pcs;;;;;
00-00000203;Кутер Frosty HR-6;raw;pcs;;;;;
00-00000120;Ложка гарнірна;raw;pcs;;;;;
00-00000204;Машина темперуюча модель PLUS EX (глазурований візок);raw;pcs;;;;;
00-00000094;Миска 24см 3Л;raw;pcs;;;;;
00-00000095;Миска 28см 4.5Л;raw;pcs;;;;;
00-00000090;Монітор Asus;raw;pcs;;;;;
00-00000089;Ніж дисковий;raw;pcs;;;;;
00-00000096;Ніж кухарський 200мм;raw;pcs;;;;;
00-00000645;Ніж кухарський 250мм;raw;pcs;;;;;
00-00000205;Пакувальна машина флоупак + теродатер;raw;pcs;;;;;
00-00000250;Панельний обігрівач Венеция ПКК 1400;raw;pcs;;;;;
00-00000075;Підпятник для стола;raw;pcs;;;;;
00-00000074;Плита індукціонна HURAKAN;raw;pcs;;;;;
00-00000082;Принтер для етикеток;raw;pcs;;;;;
00-00000083;Силовий кабель;raw;pcs;;;;;
00-00000087;Сито 350мм;raw;pcs;;;;;
00-00000080;Сміттєвий Контейнер 120л;raw;pcs;;;;;
00-00000076;Стелаж;raw;pcs;;;;;
00-00000072;Темпер з ручкою;raw;pcs;;;;;
00-00000097;Тримач для ножів магніт;raw;pcs;;;;;
00-00000098;Чаша Мірна 1Л;raw;pcs;;;;;
00-00000099;Чаша Мірна 2Л;raw;pcs;;;;;
00-00000088;Шпатель;raw;pcs;;;;;
00-00000073;Штанцформа 200х118х65;service;pcs;;;;;services
00-00000150;Бахіли;raw;pack;;;;;
00-00000634;Білизна;raw;pcs;;;;;
00-00000217;Блендер Philips;raw;pcs;;;;;
00-00000232;Будівельний Фен STARK;raw;pcs;;;;;
00-00000226;Ваги Електронні Центровес 30 кг;raw;pcs;;;;;
00-00000227;Ваги Електронні Центровес 6 кг ТЗДВ;raw;pcs;;;;;
00-00000566;Ваги торгові ВТД-15;raw;pcs;;;;;
